TERM_NAME,DEFINITION,Text
8D,"8 Disciplines of Problem Solving - Started by Ford, like Intel's 7 Steps of problem solving
","###Human:\nWhat is 8D in Dell context?\n\n###Asistant:\n8 Disciplines of Problem Solving - Started by Ford, like Intel's 7 Steps of problem solving
"
8g,8th Generation servers,###Human:\nWhat is 8g in Dell context?\n\n###Asistant:\n8th Generation servers
911,"A document that notifies the corporation of changes in a current product, such as prices, new features, etc. or introduction of new products to Sales.","###Human:\nWhat is 911 in Dell context?\n\n###Asistant:\nA document that notifies the corporation of changes in a current product, such as prices, new features, etc. or introduction of new products to Sales."
A/D,Analog to Digital,###Human:\nWhat is A/D in Dell context?\n\n###Asistant:\nAnalog to Digital
A/P,Accounts Payable,###Human:\nWhat is A/P in Dell context?\n\n###Asistant:\nAccounts Payable
A/R,Accounts Receivable,###Human:\nWhat is A/R in Dell context?\n\n###Asistant:\nAccounts Receivable
A2A,"Application to Application data exchange(i.e. an integration process). See also B2B, B2C, EDI and XML.","###Human:\nWhat is A2A in Dell context?\n\n###Asistant:\nApplication to Application data exchange(i.e. an integration process). See also B2B, B2C, EDI and XML."
A2O,"Air to Ocean - a program initiative meant to reduce transportation costs by shifting from expensive air shipping to shipping via ocean.  Unlike shifting from ocean to air, which is done in expediting, A2O is requires careful planning and analysis considering the feasibility of individual parts enduring an ocean shipment. It also requires lead time efforts since ocean shipments take weeks intead of days.  
","###Human:\nWhat is A2O in Dell context?\n\n###Asistant:\nAir to Ocean - a program initiative meant to reduce transportation costs by shifting from expensive air shipping to shipping via ocean.  Unlike shifting from ocean to air, which is done in expediting, A2O is requires careful planning and analysis considering the feasibility of individual parts enduring an ocean shipment. It also requires lead time efforts since ocean shipments take weeks intead of days.  
"
AA,Administrative Assistant,###Human:\nWhat is AA in Dell context?\n\n###Asistant:\nAdministrative Assistant
AA,"Administrative Authority
","###Human:\nWhat is AA in Dell context?\n\n###Asistant:\nAdministrative Authority
"
AA,Area Admin - a shared Admin resource,###Human:\nWhat is AA in Dell context?\n\n###Asistant:\nArea Admin - a shared Admin resource
AA ,"Agents Available - indicates the total number of agents available at a given point who are ready to take the next call.
","###Human:\nWhat is AA  in Dell context?\n\n###Asistant:\nAgents Available - indicates the total number of agents available at a given point who are ready to take the next call.
"
AA Ledger,"The ledger type used for transactions in domestic amounts (actual amounts).

","###Human:\nWhat is AA Ledger in Dell context?\n\n###Asistant:\nThe ledger type used for transactions in domestic amounts (actual amounts).

"
AA2003,"A Dell I/T strategic project to establish an enterprise application portfolio, so that interactions between applications can be formally managed and Dell  can reduce the number of redundant applications that provide business functionality. The goal is to have globally consistent integrated application environment. ","###Human:\nWhat is AA2003 in Dell context?\n\n###Asistant:\nA Dell I/T strategic project to establish an enterprise application portfolio, so that interactions between applications can be formally managed and Dell  can reduce the number of redundant applications that provide business functionality. The goal is to have globally consistent integrated application environment. "
AAA,"Authentication, authorization, and accounting protocol","###Human:\nWhat is AAA in Dell context?\n\n###Asistant:\nAuthentication, authorization, and accounting protocol"
AAFES,Army and Airforce Exchange Service,###Human:\nWhat is AAFES in Dell context?\n\n###Asistant:\nArmy and Airforce Exchange Service
AAI,"Automatic accounting instruction - A code that points to an account in the chart of accounts. AAIs define rules for programs that automatically generate journal entries. This includes interfaces between Accounts Payable, Accounts Receivable, and the General Accounting system. Each system that interfaces with the General Accounting system has AAIs. For example, AAIs can direct the Post to General Ledger program to post a debit to a certain expense account and an automatic credit to a certain accounts payable account.

","###Human:\nWhat is AAI in Dell context?\n\n###Asistant:\nAutomatic accounting instruction - A code that points to an account in the chart of accounts. AAIs define rules for programs that automatically generate journal entries. This includes interfaces between Accounts Payable, Accounts Receivable, and the General Accounting system. Each system that interfaces with the General Accounting system has AAIs. For example, AAIs can direct the Post to General Ledger program to post a debit to a certain expense account and an automatic credit to a certain accounts payable account.

"
AAL,"ATM Adaptive Layer
","###Human:\nWhat is AAL in Dell context?\n\n###Asistant:\nATM Adaptive Layer
"
AAPF,Application form for Access production floor,###Human:\nWhat is AAPF in Dell context?\n\n###Asistant:\nApplication form for Access production floor
AAR,"Automatic Alternate Routing
","###Human:\nWhat is AAR in Dell context?\n\n###Asistant:\nAutomatic Alternate Routing
"
AAT,"Average Abandon Time
","###Human:\nWhat is AAT in Dell context?\n\n###Asistant:\nAverage Abandon Time
"
AB,"Agents Busy
","###Human:\nWhat is AB in Dell context?\n\n###Asistant:\nAgents Busy
"
AB#,Airbill Number,###Human:\nWhat is AB# in Dell context?\n\n###Asistant:\nAirbill Number
ABAP,Programming language used for SAP programs.,###Human:\nWhat is ABAP in Dell context?\n\n###Asistant:\nProgramming language used for SAP programs.
ABD,The total number of queued calls for each split/skill that abandoned before an agent answered. This includes calls that are ringing at a voice terminal.,###Human:\nWhat is ABD in Dell context?\n\n###Asistant:\nThe total number of queued calls for each split/skill that abandoned before an agent answered. This includes calls that are ringing at a voice terminal.
Abend,"""ABnormal ENDing"" - refers to software that halts or errors out before completion.","###Human:\nWhat is Abend in Dell context?\n\n###Asistant:\n""ABnormal ENDing"" - refers to software that halts or errors out before completion."
ABET,"Approved B2B Electronic Transmissions - B2B = Business to Business
","###Human:\nWhat is ABET in Dell context?\n\n###Asistant:\nApproved B2B Electronic Transmissions - B2B = Business to Business
"
ABI,Analytics and Business Intelligence,###Human:\nWhat is ABI in Dell context?\n\n###Asistant:\nAnalytics and Business Intelligence
ABI,Application Binary Interface A software definition that describes the binary instruction encodings for a particular processor along with API compliance.,###Human:\nWhat is ABI in Dell context?\n\n###Asistant:\nApplication Binary Interface A software definition that describes the binary instruction encodings for a particular processor along with API compliance.
ABIT,"Advance Board Integrated Testing. Term that was originated in ASD (field service) to refer to testing intergrated boards based on its part number or PPID number.
","###Human:\nWhat is ABIT in Dell context?\n\n###Asistant:\nAdvance Board Integrated Testing. Term that was originated in ASD (field service) to refer to testing intergrated boards based on its part number or PPID number.
"
ABM,Activity Based Management,###Human:\nWhat is ABM in Dell context?\n\n###Asistant:\nActivity Based Management
ABM,"Active Block Mapping.  When backing up a disk, this is the process of ONLY writing USED disk blocks (as determined by the file system table) to a backup file.","###Human:\nWhat is ABM in Dell context?\n\n###Asistant:\nActive Block Mapping.  When backing up a disk, this is the process of ONLY writing USED disk blocks (as determined by the file system table) to a backup file."
ABO,Americas Business Operations,###Human:\nWhat is ABO in Dell context?\n\n###Asistant:\nAmericas Business Operations
ABOM,"Actual Balance Owner Model - a Trial Balance generated by the BST Administrator Team and commonly issued by the end of each month.
","###Human:\nWhat is ABOM in Dell context?\n\n###Asistant:\nActual Balance Owner Model - a Trial Balance generated by the BST Administrator Team and commonly issued by the end of each month.
"
ABP,"Average Buying Power
","###Human:\nWhat is ABP in Dell context?\n\n###Asistant:\nAverage Buying Power
"
ABR,"Available Bandwidth Rate
","###Human:\nWhat is ABR in Dell context?\n\n###Asistant:\nAvailable Bandwidth Rate
"
ABS,"Asset Backed Security
","###Human:\nWhat is ABS in Dell context?\n\n###Asistant:\nAsset Backed Security
"
ABS,Automated Backend Screening (Change of Address system),###Human:\nWhat is ABS in Dell context?\n\n###Asistant:\nAutomated Backend Screening (Change of Address system)
Absolute Rating,A performance rating given to an employee that is based on how a team member performs against his/her own performance objectives.,###Human:\nWhat is Absolute Rating in Dell context?\n\n###Asistant:\nA performance rating given to an employee that is based on how a team member performs against his/her own performance objectives.
ABT,"DFS’s Lease Management System (Automated Booking Tool).  This is the system used to generate schedules and book contracts into Infolease.  System allows OC to process orders, place on lease schedules, create exhibits, STW's and process orders through UCI into InfoLease for Booking and/or Funding.
","###Human:\nWhat is ABT in Dell context?\n\n###Asistant:\nDFS’s Lease Management System (Automated Booking Tool).  This is the system used to generate schedules and book contracts into Infolease.  System allows OC to process orders, place on lease schedules, create exhibits, STW's and process orders through UCI into InfoLease for Booking and/or Funding.
"
ABU,Americas Business Unit,###Human:\nWhat is ABU in Dell context?\n\n###Asistant:\nAmericas Business Unit
ABX,"Automatic Branch Exchange
","###Human:\nWhat is ABX in Dell context?\n\n###Asistant:\nAutomatic Branch Exchange
"
AC,Alternating Current,###Human:\nWhat is AC in Dell context?\n\n###Asistant:\nAlternating Current
AC Adapter,An external power supply that converts AC power to DC power for a portable computer. The AC adapter's cable connects to the portable computer. A power cable connects the AC adapter to an AC power source. ,###Human:\nWhat is AC Adapter in Dell context?\n\n###Asistant:\nAn external power supply that converts AC power to DC power for a portable computer. The AC adapter's cable connects to the portable computer. A power cable connects the AC adapter to an AC power source. 
AC97,"Audio Codec '97.  The AC'97 specification defines how an audio codec (AC), a modem codec (MC), an audio/modem codec (AMC) or both an AC and an MC be attached to system logic (ie. the chipset of motherboard), and intends to replace the ISA interface.  With AC'97 there is need for only a modem riser (MR) card or an audio/modem riser (AMR) card with corresponding codec on it to perform modem and/or audio functions, which is more cost-effective.","###Human:\nWhat is AC97 in Dell context?\n\n###Asistant:\nAudio Codec '97.  The AC'97 specification defines how an audio codec (AC), a modem codec (MC), an audio/modem codec (AMC) or both an AC and an MC be attached to system logic (ie. the chipset of motherboard), and intends to replace the ISA interface.  With AC'97 there is need for only a modem riser (MR) card or an audio/modem riser (AMR) card with corresponding codec on it to perform modem and/or audio functions, which is more cost-effective."
ACC,Americas Customer Centers,###Human:\nWhat is ACC in Dell context?\n\n###Asistant:\nAmericas Customer Centers
Accelerated BLT,A bit blitter BitBLT in the video chip that has hardware accelerator circuitry to support fast bit block transfer.,###Human:\nWhat is Accelerated BLT in Dell context?\n\n###Asistant:\nA bit blitter BitBLT in the video chip that has hardware accelerator circuitry to support fast bit block transfer.
Acceptable Days Remaining,"The number of days remaining that orders in a PO consolidation group can still be pending consolidation. After this “acceptable” period has expired, warning notifications will be sent to the collector email address specified in the consolidated billing profile. 
","###Human:\nWhat is Acceptable Days Remaining in Dell context?\n\n###Asistant:\nThe number of days remaining that orders in a PO consolidation group can still be pending consolidation. After this “acceptable” period has expired, warning notifications will be sent to the collector email address specified in the consolidated billing profile. 
"
Acceptance Phase,The final phase of the Phase Review Process during which attainment of program goals is measured and learning experiences are captured as part of the continuous process improvement effort.,###Human:\nWhat is Acceptance Phase in Dell context?\n\n###Asistant:\nThe final phase of the Phase Review Process during which attainment of program goals is measured and learning experiences are captured as part of the continuous process improvement effort.
Acceptance Report,"A progress report comparing actual product performance to the Business Contract targets and bounds. The Acceptance Report is typically generated 90 - 120 days after RTS, during the Deployment phase.","###Human:\nWhat is Acceptance Report in Dell context?\n\n###Asistant:\nA progress report comparing actual product performance to the Business Contract targets and bounds. The Acceptance Report is typically generated 90 - 120 days after RTS, during the Deployment phase."
Acceptance Testing,Validates that the built solution performs in accordance with the specified requirements (acceptance criteria). It is performed by the customer and may or may not involve developers of the system.,###Human:\nWhat is Acceptance Testing in Dell context?\n\n###Asistant:\nValidates that the built solution performs in accordance with the specified requirements (acceptance criteria). It is performed by the customer and may or may not involve developers of the system.
Access,Mechanisms that limit availability of information or information processing resources only to authorized persons or applications,###Human:\nWhat is Access in Dell context?\n\n###Asistant:\nMechanisms that limit availability of information or information processing resources only to authorized persons or applications
Account harvesting,Process of identifying existing user accounts based on trial and error. Note - Providing excessive information in error messages can disclose enough to make it easier for an attacker to penetrate and ‘harvest’ or compromise the system.,###Human:\nWhat is Account harvesting in Dell context?\n\n###Asistant:\nProcess of identifying existing user accounts based on trial and error. Note - Providing excessive information in error messages can disclose enough to make it easier for an attacker to penetrate and ‘harvest’ or compromise the system.
Account number,Payment card number (credit or debit) that identifies the issuer and the particular cardholder account. Also called Primary Account Number (PAN),###Human:\nWhat is Account number in Dell context?\n\n###Asistant:\nPayment card number (credit or debit) that identifies the issuer and the particular cardholder account. Also called Primary Account Number (PAN)
Account Type - Administrative or Privileged Accounts,"User accounts on the domain or on specific computing resources that have special privileged access (e.g., ROOT on Unix/Linux, Super User on Tandem, or Administrator on Windows). 
","###Human:\nWhat is Account Type - Administrative or Privileged Accounts in Dell context?\n\n###Asistant:\nUser accounts on the domain or on specific computing resources that have special privileged access (e.g., ROOT on Unix/Linux, Super User on Tandem, or Administrator on Windows). 
"
Account Type - Customer Accounts,"User accounts for customers such as My Account or Premier Accounts.
","###Human:\nWhat is Account Type - Customer Accounts in Dell context?\n\n###Asistant:\nUser accounts for customers such as My Account or Premier Accounts.
"
Account Type - Employee Accounts,"General use, non-administrative, non-privileged user accounts on the domain or on specific computing resources that are used by employees. 
","###Human:\nWhat is Account Type - Employee Accounts in Dell context?\n\n###Asistant:\nGeneral use, non-administrative, non-privileged user accounts on the domain or on specific computing resources that are used by employees. 
"
Account Type - General User Accounts ,Non-privileged and non-privileged user accounts on the domain or on specific computing resources and include both.,###Human:\nWhat is Account Type - General User Accounts  in Dell context?\n\n###Asistant:\nNon-privileged and non-privileged user accounts on the domain or on specific computing resources and include both.
Account Type - Non-Employee Accounts ,"General use, non-administrative, non-privileged user accounts on the domain or on specific computing resources that are used by Non-Employees such as temps, contractors, and business partners.","###Human:\nWhat is Account Type - Non-Employee Accounts  in Dell context?\n\n###Asistant:\nGeneral use, non-administrative, non-privileged user accounts on the domain or on specific computing resources that are used by Non-Employees such as temps, contractors, and business partners."
Account Type - Process or Service Accounts,"Accounts that are not used by a user but instead are for use by an automated process or service such as an application. 
","###Human:\nWhat is Account Type - Process or Service Accounts in Dell context?\n\n###Asistant:\nAccounts that are not used by a user but instead are for use by an automated process or service such as an application. 
"
Account Type - Training and Test Accounts,"Any type of user account that is for use in training or testing. 
","###Human:\nWhat is Account Type - Training and Test Accounts in Dell context?\n\n###Asistant:\nAny type of user account that is for use in training or testing. 
"
Accounting Memo,Accounting memo serves to our SKU management team to profile the SKUs correctly from an accounting standpoint as well as our external auditors who audit our accounting memo documentation process so that we are in compliance with SOX controls and that accounting is in compliance with US GAAP.,###Human:\nWhat is Accounting Memo in Dell context?\n\n###Asistant:\nAccounting memo serves to our SKU management team to profile the SKUs correctly from an accounting standpoint as well as our external auditors who audit our accounting memo documentation process so that we are in compliance with SOX controls and that accounting is in compliance with US GAAP.
ACD,"Average Calls per Day
","###Human:\nWhat is ACD in Dell context?\n\n###Asistant:\nAverage Calls per Day
"
ACD ,"Americas Customer Database. An externally maintained database of U.S. customer purchase history, promotion history, demographics and firmographics. ","###Human:\nWhat is ACD  in Dell context?\n\n###Asistant:\nAmericas Customer Database. An externally maintained database of U.S. customer purchase history, promotion history, demographics and firmographics. "
ACD ,Automated Call Distribution. ,###Human:\nWhat is ACD  in Dell context?\n\n###Asistant:\nAutomated Call Distribution. 
ACDC,Americas Call Driver Collection ,###Human:\nWhat is ACDC in Dell context?\n\n###Asistant:\nAmericas Call Driver Collection 
ACE,"Americas Customer Escalation process. Used during the initial transition globally to deal with customer questions and escalations that come in through our call centers.  
","###Human:\nWhat is ACE in Dell context?\n\n###Asistant:\nAmericas Customer Escalation process. Used during the initial transition globally to deal with customer questions and escalations that come in through our call centers.  
"
ACF,"Automation and Control Framework
","###Human:\nWhat is ACF in Dell context?\n\n###Asistant:\nAutomation and Control Framework
"
ACF,"Access Coordination Function
","###Human:\nWhat is ACF in Dell context?\n\n###Asistant:\nAccess Coordination Function
"
ACG,"All Channels Group
","###Human:\nWhat is ACG in Dell context?\n\n###Asistant:\nAll Channels Group
"
ACG,Automated Capabilities Guide ,###Human:\nWhat is ACG in Dell context?\n\n###Asistant:\nAutomated Capabilities Guide 
ACH,"Bank transfer
","###Human:\nWhat is ACH in Dell context?\n\n###Asistant:\nBank transfer
"
ACI,"Agent Capability Improvement - the program that includes building up a career for the people on the phones.
","###Human:\nWhat is ACI in Dell context?\n\n###Asistant:\nAgent Capability Improvement - the program that includes building up a career for the people on the phones.
"
ACK,Acknowledgement - means an order was accepted by DOMS (also see NAK).,###Human:\nWhat is ACK in Dell context?\n\n###Asistant:\nAcknowledgement - means an order was accepted by DOMS (also see NAK).
ACL,Access Control List. Sets permissions.,###Human:\nWhat is ACL in Dell context?\n\n###Asistant:\nAccess Control List. Sets permissions.
ACL,Approved Commodity List.  Separated between XLOB and Mkt commodities.  ,###Human:\nWhat is ACL in Dell context?\n\n###Asistant:\nApproved Commodity List.  Separated between XLOB and Mkt commodities.  
ACM,"Account Manager (France relationship business)
","###Human:\nWhat is ACM in Dell context?\n\n###Asistant:\nAccount Manager (France relationship business)
"
ACM,Auto-Compensator Mechanism (or paper feed) in Printer,###Human:\nWhat is ACM in Dell context?\n\n###Asistant:\nAuto-Compensator Mechanism (or paper feed) in Printer
ACMT,"Account Manager Terrain (france relationship business) = external account manager
","###Human:\nWhat is ACMT in Dell context?\n\n###Asistant:\nAccount Manager Terrain (france relationship business) = external account manager
"
ACO,"Automatic Cut Off
","###Human:\nWhat is ACO in Dell context?\n\n###Asistant:\nAutomatic Cut Off
"
ACO,Administrative Contracting Officer,###Human:\nWhat is ACO in Dell context?\n\n###Asistant:\nAdministrative Contracting Officer
ACP,Specific to calls that engage UPSLG (SONIC) This status shows Sonic’s acceptance of the part request from Dell. ,###Human:\nWhat is ACP in Dell context?\n\n###Asistant:\nSpecific to calls that engage UPSLG (SONIC) This status shows Sonic’s acceptance of the part request from Dell. 
ACP,Attorney-Client Priviledge,###Human:\nWhat is ACP in Dell context?\n\n###Asistant:\nAttorney-Client Priviledge
ACPI,Advanced Configuration and Power Interface. ,###Human:\nWhat is ACPI in Dell context?\n\n###Asistant:\nAdvanced Configuration and Power Interface. 
ACPL,"America's Corporate Price List - Application used by relationship contracts groups to administer and generate customer specific price lists.
","###Human:\nWhat is ACPL in Dell context?\n\n###Asistant:\nAmerica's Corporate Price List - Application used by relationship contracts groups to administer and generate customer specific price lists.
"
